bref_id,PLAYER_ID,stats_player_id,espn_id,PLAYER_NAME,Team,team_g,stats_team_id
hernaju01,1627823,920082,4017839,Juancho Hernangomez,BOS,34,2
randlju01,203944,786412,3064514,Julius Randle,NYK,34,18
anderju01,1626147,697982,2982340,Justin Anderson,CLE,34,5
champju01,1630551,1175260,4432907,Justin Champagnie,TOR,31,28
holidju01,203200,395365,2284101,Justin Holiday,IND,34,11
jacksju01,1628382,842955,3138156,Justin Jackson,BOS,34,2
robinju01,1629620,893009,3945566,Justin Robinson,MIL/SAC,35,8
winslju01,1626159,842298,3135047,Justise Winslow,LAC,34,12
nurkiju01,203994,830642,3102530,Jusuf Nurkic,POR,33,22
morgaju01,1629752,900536,3934721,Juwan Morgan,TOR,31,28
okpalkz01,1629644,1061544,4278521,KZ Okpala,MIA,35,14
joneska01,1630539,1186771,4431699,Kai Jones,CHO,35,5312
townska01,1626157,837030,3136195,Karl-Anthony Towns,MIN,34,16
bateske01,1628966,844045,3136779,Keita Bates-Diop,SAS,33,24
martike03,1629103,843805,3133596,Kelan Martin,IND,34,11
johnske04,1629640,1134174,4395723,Keldon Johnson,SAS,33,24
blevike01,1629833,851186,3152335,Keljin Blevins,POR,33,22
olynyke01,203482,514882,2489663,Kelly Olynyk,DET,32,8
oubreke01,1626162,843271,3133603,Kelly Oubre Jr.,CHO,35,5312
walkeke02,202689,462980,6479,Kemba Walker,NYK,34,18
willike04,1629026,843742,3133626,Kenrich Williams,OKC,33,25
bazemke01,203145,410764,6637,Kent Bazemore,LAL,35,13
caldwke01,203484,602730,2581018,Kentavious Caldwell-Pope,WAS,34,27
martike04,1630231,1257431,4431828,Kenyon Martin Jr.,HOU,35,10
johnske07,1630553,1231792,4432192,Keon Johnson,LAC,34,12
edwarke02,1630556,1135006,4397693,Kessler Edwards,BRK,32,17
duranke01,201142,329525,3202,Kevin Durant,BRK,32,17
huertke01,1628989,944785,4066372,Kevin Huerter,ATL,33,1
knoxke01,1628995,1067854,4278075,Kevin Knox II,NYK,34,18
loveke01,201567,395374,3449,Kevin Love,CLE,34,5
pangoke01,1630698,606932,2583962,Kevin Pangos,CLE,34,5
porteke02,1629645,1135158,4397140,Kevin Porter Jr.,HOU,35,10
looneke01,1626172,846499,3155535,Kevon Looney,GSW,34,9
birchkh01,203920,601518,2578240,Khem Birch,TOR,31,28
middlkh01,203114,512053,6609,Khris Middleton,MIL,36,15
hayeski01,1630165,1257421,4683024,Killian Hayes,DET,32,8
tilliki02,1629681,955890,4066651,Killian Tillie,MEM,35,29
lewiski01,1630184,1134005,4395698,Kira Lewis Jr.,NOP,35,3
porzikr01,204001,877869,3102531,Kristaps Porzingis,DAL,33,6
anderky01,203937,697720,2993874,Kyle Anderson,MEM,35,29
kuzmaky01,1628398,844476,3134907,Kyle Kuzma,WAS,34,27
lowryky01,200768,266394,3012,Kyle Lowry,MIA,35,14
aldrila01,200746,266554,2983,LaMarcus Aldridge,BRK,32,17
ballla01,1630163,1257420,4432816,LaMelo Ball,CHO,35,5312
stevela01,1630205,950179,4066405,Lamar Stevens,CLE,34,5
stephla01,202362,511057,4244,Lance Stephenson,ATL,33,1
shamela01,1629013,893100,3914044,Landry Shamet,PHO,33,21
gallola01,204038,551321,2530572,Langston Galloway,BRK,32,17
nancela02,1626204,603640,2580365,Larry Nance Jr.,POR,33,22
markkla01,1628374,949131,4066336,Lauri Markkanen,CLE,34,5
jamesle01,2544,214152,1966,LeBron James,LAL,35,13
bolmale01,1630195,1257425,4683025,Leandro Bolmaro,MIN,34,16
walkelo01,1629022,1060928,4277890,Lonnie Walker IV,SAS,33,24
balllo01,1628366,946714,4066421,Lonzo Ball,CHI,31,4
willilo02,101150,292401,2799,Lou Williams,ATL,33,1
kinglo02,1629663,1134732,4397103,Louis King,SAC,35,23
